year,region,state,unit_name,unit_type,visitors,pop,gas_price
2006,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,200054,4219239,2.59
2007,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,202950,4256672,2.8
2008,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,200404,4289878,3.27
2009,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,221111,4317074,2.35
2010,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,177122,4349838,2.79
2011,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,163568,4370038,3.53
2012,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,169515,4383465,3.64
2013,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,163928,4399583,3.53
2014,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,241264,4413457,3.37
2015,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,148605,4425092,2.45
2006,NE,ME,Acadia National Park,National Park,2083588,1323619,2.59
2007,NE,ME,Acadia National Park,National Park,2202228,1327040,2.8
2008,NE,ME,Acadia National Park,National Park,2075857,1330509,3.27
2009,NE,ME,Acadia National Park,National Park,2227698,1329590,2.35
2010,NE,ME,Acadia National Park,National Park,2504208,1327361,2.79
2011,NE,ME,Acadia National Park,National Park,2374645,1327930,3.53
2012,NE,ME,Acadia National Park,National Park,2431052,1328592,3.64
2013,NE,ME,Acadia National Park,National Park,2254922,1328702,3.53
2014,NE,ME,Acadia National Park,National Park,2563129,1330089,3.37
2015,NE,ME,Acadia National Park,National Park,2811184,1329328,2.45
2006,NE,MA,Adams National Historical Park,National Historical Park,225318,6410084,2.59
2007,NE,MA,Adams National Historical Park,National Historical Park,224880,6431559,2.8
2008,NE,MA,Adams National Historical Park,National Historical Park,241536,6468967,3.27
2009,NE,MA,Adams National Historical Park,National Historical Park,253656,6517613,2.35
2010,NE,MA,Adams National Historical Park,National Historical Park,73339,6564073,2.79
2011,NE,MA,Adams National Historical Park,National Historical Park,219975,6612270,3.53
2012,NE,MA,Adams National Historical Park,National Historical Park,336031,6655829,3.64
2013,NE,MA,Adams National Historical Park,National Historical Park,285501,6708874,3.53
2014,NE,MA,Adams National Historical Park,National Historical Park,178468,6745408,3.37
2015,NE,MA,Adams National Historical Park,National Historical Park,183632,6794422,2.45
2010,NE,NY,African Burial Ground National Monument,National Monument,117113,19400867,2.79
2011,NE,NY,African Burial Ground National Monument,National Monument,108585,19521745,3.53
2012,NE,NY,African Burial Ground National Monument,National Monument,77624,19607140,3.64
2013,NE,NY,African Burial Ground National Monument,National Monument,93234,19695680,3.53
2014,NE,NY,African Burial Ground National Monument,National Monument,54861,19746227,3.37
2015,NE,NY,African Burial Ground National Monument,National Monument,56348,19795791,2.45
2006,MW,NE,Agate Fossil Beds National Monument,National Monument,13521,1772693,2.59
2007,MW,NE,Agate Fossil Beds National Monument,National Monument,12997,1783440,2.8
2008,MW,NE,Agate Fossil Beds National Monument,National Monument,12425,1796378,3.27
2009,MW,NE,Agate Fossil Beds National Monument,National Monument,12694,1812683,2.35
2010,MW,NE,Agate Fossil Beds National Monument,National Monument,12509,1829865,2.79
2011,MW,NE,Agate Fossil Beds National Monument,National Monument,11617,1842232,3.53
2012,MW,NE,Agate Fossil Beds National Monument,National Monument,11824,1855487,3.64
2013,MW,NE,Agate Fossil Beds National Monument,National Monument,10504,1868969,3.53
2014,MW,NE,Agate Fossil Beds National Monument,National Monument,12440,1881503,3.37
2015,MW,NE,Agate Fossil Beds National Monument,National Monument,13264,1896190,2.45
2006,IM,TX,Alibates Flint Quarries National Monument,National Monument,1882,23359580,2.59
2007,IM,TX,Alibates Flint Quarries National Monument,National Monument,4028,23831983,2.8
2008,IM,TX,Alibates Flint Quarries National Monument,National Monument,2297,24309039,3.27
2009,IM,TX,Alibates Flint Quarries National Monument,National Monument,2918,24801761,2.35
2010,IM,TX,Alibates Flint Quarries National Monument,National Monument,4350,25245717,2.79
2011,IM,TX,Alibates Flint Quarries National Monument,National Monument,3214,25657477,3.53
2012,IM,TX,Alibates Flint Quarries National Monument,National Monument,3383,26094422,3.64
2013,IM,TX,Alibates Flint Quarries National Monument,National Monument,1555,26505637,3.53
2014,IM,TX,Alibates Flint Quarries National Monument,National Monument,4513,26956958,3.37
2015,IM,TX,Alibates Flint Quarries National Monument,National Monument,9492,27469114,2.45
2006,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,121009,12510809,2.59
2007,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,123215,12563937,2.8
2008,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,113991,12612285,3.27
2009,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,118931,12666858,2.35
2010,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,107363,12711077,2.79
2011,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,118410,12743995,3.53
2012,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,138864,12770043,3.64
2013,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,107977,12781296,3.53
2014,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,172883,12787209,3.37
2015,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,168433,12802503,2.45
2006,IM,TX,Amistad National Recreation Area,National Recreation Area,1599271,23359580,2.59
2007,IM,TX,Amistad National Recreation Area,National Recreation Area,1734200,23831983,2.8
2008,IM,TX,Amistad National Recreation Area,National Recreation Area,1980717,24309039,3.27
2009,IM,TX,Amistad National Recreation Area,National Recreation Area,2573966,24801761,2.35
2010,IM,TX,Amistad National Recreation Area,National Recreation Area,1574322,25245717,2.79
2011,IM,TX,Amistad National Recreation Area,National Recreation Area,1436759,25657477,3.53
2012,IM,TX,Amistad National Recreation Area,National Recreation Area,1367502,26094422,3.64
2013,IM,TX,Amistad National Recreation Area,National Recreation Area,1025151,26505637,3.53
2014,IM,TX,Amistad National Recreation Area,National Recreation Area,1130096,26956958,3.37
2015,IM,TX,Amistad National Recreation Area,National Recreation Area,1250051,27469114,2.45
2006,SE,GA,Andersonville National Historic Site,National Historic Site,132153,9155813,2.59
2007,SE,GA,Andersonville National Historic Site,National Historic Site,153686,9349988,2.8
2008,SE,GA,Andersonville National Historic Site,National Historic Site,159592,9504843,3.27
2009,SE,GA,Andersonville National Historic Site,National Historic Site,136267,9620846,2.35
2010,SE,GA,Andersonville National Historic Site,National Historic Site,121535,9714464,2.79
2011,SE,GA,Andersonville National Historic Site,National Historic Site,108812,9813201,3.53
2012,SE,GA,Andersonville National Historic Site,National Historic Site,122883,9919000,3.64
2013,SE,GA,Andersonville National Historic Site,National Historic Site,98771,9994759,3.53
2014,SE,GA,Andersonville National Historic Site,National Historic Site,127189,10097343,3.37
2015,SE,GA,Andersonville National Historic Site,National Historic Site,136686,10214860,2.45
2006,SE,TN,Andrew Johnson National Historic Site,National Historic Site,50701,6088766,2.59
2007,SE,TN,Andrew Johnson National Historic Site,National Historic Site,43456,6175727,2.8
2008,SE,TN,Andrew Johnson National Historic Site,National Historic Site,69433,6247411,3.27
2009,SE,TN,Andrew Johnson National Historic Site,National Historic Site,63296,6306019,2.35
2010,SE,TN,Andrew Johnson National Historic Site,National Historic Site,60323,6356628,2.79
2011,SE,TN,Andrew Johnson National Historic Site,National Historic Site,52322,6398389,3.53
2012,SE,TN,Andrew Johnson National Historic Site,National Historic Site,51261,6455177,3.64
2013,SE,TN,Andrew Johnson National Historic Site,National Historic Site,42929,6497269,3.53
2014,SE,TN,Andrew Johnson National Historic Site,National Historic Site,42863,6549352,3.37
2015,SE,TN,Andrew Johnson National Historic Site,National Historic Site,45357,6600299,2.45
2006,AK,AK,Aniakchak National Monument,National Monument,60,675302,2.59
2007,AK,AK,Aniakchak National Monument,National Monument,26,680300,2.8
2008,AK,AK,Aniakchak National Monument,National Monument,10,687455,3.27
2009,AK,AK,Aniakchak National Monument,National Monument,14,698895,2.35
2010,AK,AK,Aniakchak National Monument,National Monument,62,713856,2.79
2011,AK,AK,Aniakchak National Monument,National Monument,57,722572,3.53
2012,AK,AK,Aniakchak National Monument,National Monument,19,731081,3.64
2013,AK,AK,Aniakchak National Monument,National Monument,134,737259,3.53
2014,AK,AK,Aniakchak National Monument,National Monument,134,736732,3.37
2015,AK,AK,Aniakchak National Monument,National Monument,153,738432,2.45
2006,AK,AK,Aniakchak National Preserve,National Preserve,60,675302,2.59
2007,AK,AK,Aniakchak National Preserve,National Preserve,26,680300,2.8
2008,AK,AK,Aniakchak National Preserve,National Preserve,10,687455,3.27
2009,AK,AK,Aniakchak National Preserve,National Preserve,14,698895,2.35
2010,AK,AK,Aniakchak National Preserve,National Preserve,62,713856,2.79
2011,AK,AK,Aniakchak National Preserve,National Preserve,57,722572,3.53
2012,AK,AK,Aniakchak National Preserve,National Preserve,19,731081,3.64
2013,AK,AK,Aniakchak National Preserve,National Preserve,134,737259,3.53
2014,AK,AK,Aniakchak National Preserve,National Preserve,134,736732,3.37
2015,AK,AK,Aniakchak National Preserve,National Preserve,153,738432,2.45
2006,NC,MD,Antietam National Battlefield,National Battlefield,282676,5627367,2.59
2007,NC,MD,Antietam National Battlefield,National Battlefield,337569,5653408,2.8
2008,NC,MD,Antietam National Battlefield,National Battlefield,352548,5684965,3.27
2009,NC,MD,Antietam National Battlefield,National Battlefield,378966,5730388,2.35
2010,NC,MD,Antietam National Battlefield,National Battlefield,393957,5788101,2.79
2011,NC,MD,Antietam National Battlefield,National Battlefield,384987,5843833,3.53
2012,NC,MD,Antietam National Battlefield,National Battlefield,510921,5891819,3.64
2013,NC,MD,Antietam National Battlefield,National Battlefield,370832,5938737,3.53
2014,NC,MD,Antietam National Battlefield,National Battlefield,337079,5976407,3.37
2015,NC,MD,Antietam National Battlefield,National Battlefield,347180,6006401,2.45
2006,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,189051,5577655,2.59
2007,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,182396,5610775,2.8
2008,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,162871,5640996,3.27
2009,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,170202,5669264,2.35
2010,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,156945,5689268,2.79
2011,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,176040,5708785,3.53
2012,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,163419,5724888,3.64
2013,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,148556,5742953,3.53
2014,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,290059,5757564,3.37
2015,MW,WI,Apostle Islands National Lakeshore,National Lakeshore,232662,5771337,2.45
2006,NE,VA,Appomattox Court House National Historical Park,National Historical Park,145804,7673725,2.59
2007,NE,VA,Appomattox Court House National Historical Park,National Historical Park,149255,7751000,2.8
2008,NE,VA,Appomattox Court House National Historical Park,National Historical Park,178748,7833496,3.27
2009,NE,VA,Appomattox Court House National Historical Park,National Historical Park,185443,7925937,2.35
2010,NE,VA,Appomattox Court House National Historical Park,National Historical Park,216220,8025376,2.79
2011,NE,VA,Appomattox Court House National Historical Park,National Historical Park,258917,8110188,3.53
2012,NE,VA,Appomattox Court House National Historical Park,National Historical Park,320668,8193422,3.64
2013,NE,VA,Appomattox Court House National Historical Park,National Historical Park,317660,8270345,3.53
2014,NE,VA,Appomattox Court House National Historical Park,National Historical Park,278776,8326289,3.37
2015,NE,VA,Appomattox Court House National Historical Park,National Historical Park,412640,8382993,2.45
2006,IM,UT,Arches National Park,National Park,833049,2525507,2.59
2007,IM,UT,Arches National Park,National Park,860181,2597746,2.8
2008,IM,UT,Arches National Park,National Park,928795,2663029,3.27
2009,IM,UT,Arches National Park,National Park,996312,2723421,2.35
2010,IM,UT,Arches National Park,National Park,1014405,2774346,2.79
2011,IM,UT,Arches National Park,National Park,1040758,2815324,3.53
2012,IM,UT,Arches National Park,National Park,1070577,2855194,3.64
2013,IM,UT,Arches National Park,National Park,1082866,2902787,3.53
2014,IM,UT,Arches National Park,National Park,1284767,2942902,3.37
2015,IM,UT,Arches National Park,National Park,1399247,2995919,2.45
2006,MW,AR,Arkansas Post National Memorial,National Memorial,36665,2821761,2.59
2007,MW,AR,Arkansas Post National Memorial,National Memorial,37230,2848650,2.8
2008,MW,AR,Arkansas Post National Memorial,National Memorial,43137,2874554,3.27
2009,MW,AR,Arkansas Post National Memorial,National Memorial,32160,2896843,2.35
2010,MW,AR,Arkansas Post National Memorial,National Memorial,34712,2922297,2.79
2011,MW,AR,Arkansas Post National Memorial,National Memorial,37127,2938430,3.53
2012,MW,AR,Arkansas Post National Memorial,National Memorial,39703,2949300,3.64
2013,MW,AR,Arkansas Post National Memorial,National Memorial,36420,2958765,3.53
2014,MW,AR,Arkansas Post National Memorial,National Memorial,30860,2966369,3.37
2015,MW,AR,Arkansas Post National Memorial,National Memorial,38702,2978204,2.45
2006,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,509522,7673725,2.59
2007,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,466690,7751000,2.8
2008,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,518515,7833496,3.27
2009,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,603773,7925937,2.35
2010,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,627576,8025376,2.79
2011,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,576816,8110188,3.53
2012,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,562772,8193422,3.64
2013,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,586531,8270345,3.53
2014,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,671638,8326289,3.37
2015,NC,VA,"Arlington House, The Robert E. Lee Memorial",National Memorial,532050,8382993,2.45
2006,NE,MD,Assateague Island National Seashore,National Seashore,1932817,5627367,2.59
2007,NE,MD,Assateague Island National Seashore,National Seashore,2110918,5653408,2.8
2008,NE,MD,Assateague Island National Seashore,National Seashore,2011438,5684965,3.27
2009,NE,MD,Assateague Island National Seashore,National Seashore,2129658,5730388,2.35
2010,NE,MD,Assateague Island National Seashore,National Seashore,2106090,5788101,2.79
2011,NE,MD,Assateague Island National Seashore,National Seashore,2105419,5843833,3.53
2012,NE,MD,Assateague Island National Seashore,National Seashore,2154859,5891819,3.64
2013,NE,MD,Assateague Island National Seashore,National Seashore,2056828,5938737,3.53
2014,NE,MD,Assateague Island National Seashore,National Seashore,2170681,5976407,3.37
2015,NE,MD,Assateague Island National Seashore,National Seashore,2275606,6006401,2.45
2006,IM,NM,Aztec Ruins National Monument,National Monument,40779,1962137,2.59
2007,IM,NM,Aztec Ruins National Monument,National Monument,39538,1990070,2.8
2008,IM,NM,Aztec Ruins National Monument,National Monument,38709,2010662,3.27
2009,IM,NM,Aztec Ruins National Monument,National Monument,38234,2036802,2.35
2010,IM,NM,Aztec Ruins National Monument,National Monument,37437,2064950,2.79
2011,IM,NM,Aztec Ruins National Monument,National Monument,41106,2078407,3.53
2012,IM,NM,Aztec Ruins National Monument,National Monument,44744,2084594,3.64
2013,IM,NM,Aztec Ruins National Monument,National Monument,41312,2086895,3.53
2014,IM,NM,Aztec Ruins National Monument,National Monument,44721,2085572,3.37
2015,IM,NM,Aztec Ruins National Monument,National Monument,53165,2085109,2.45
2006,MW,SD,Badlands National Park,National Park,840118,783033,2.59
2007,MW,SD,Badlands National Park,National Park,886654,791623,2.8
2008,MW,SD,Badlands National Park,National Park,845734,799124,3.27
2009,MW,SD,Badlands National Park,National Park,933918,807067,2.35
2010,MW,SD,Badlands National Park,National Park,977778,816192,2.79
2011,MW,SD,Badlands National Park,National Park,870741,824171,3.53
2012,MW,SD,Badlands National Park,National Park,883406,834504,3.64
2013,MW,SD,Badlands National Park,National Park,892372,845510,3.53
2014,MW,SD,Badlands National Park,National Park,868094,853175,3.37
2015,MW,SD,Badlands National Park,National Park,989354,858469,2.45
2006,IM,NM,Bandelier National Monument,National Monument,243765,1962137,2.59
2007,IM,NM,Bandelier National Monument,National Monument,224134,1990070,2.8
2008,IM,NM,Bandelier National Monument,National Monument,207656,2010662,3.27
2009,IM,NM,Bandelier National Monument,National Monument,212544,2036802,2.35
2010,IM,NM,Bandelier National Monument,National Monument,234896,2064950,2.79
2011,IM,NM,Bandelier National Monument,National Monument,193914,2078407,3.53
2012,IM,NM,Bandelier National Monument,National Monument,150289,2084594,3.64
2013,IM,NM,Bandelier National Monument,National Monument,126682,2086895,3.53
2014,IM,NM,Bandelier National Monument,National Monument,130106,2085572,3.37
2015,IM,NM,Bandelier National Monument,National Monument,174073,2085109,2.45
2006,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,26483,4720423,2.59
2007,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,23952,4803868,2.8
2008,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,25001,4889730,3.27
2009,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,28131,4972195,2.35
2010,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,29120,5048575,2.79
2011,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,26842,5119661,3.53
2012,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,25815,5191709,3.64
2013,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,23324,5272086,3.53
2014,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,24555,5355866,3.37
2015,IM,CO,Bent's Old Fort National Historic Site,National Historic Site,26219,5456574,2.45
2006,AK,AK,Bering Land Bridge National Preserve,National Preserve,1265,675302,2.59
2007,AK,AK,Bering Land Bridge National Preserve,National Preserve,796,680300,2.8
2008,AK,AK,Bering Land Bridge National Preserve,National Preserve,1019,687455,3.27
2009,AK,AK,Bering Land Bridge National Preserve,National Preserve,1054,698895,2.35
2010,AK,AK,Bering Land Bridge National Preserve,National Preserve,2642,713856,2.79
2011,AK,AK,Bering Land Bridge National Preserve,National Preserve,1890,722572,3.53
2012,AK,AK,Bering Land Bridge National Preserve,National Preserve,2642,731081,3.64
2013,AK,AK,Bering Land Bridge National Preserve,National Preserve,2642,737259,3.53
2014,AK,AK,Bering Land Bridge National Preserve,National Preserve,2636,736732,3.37
2015,AK,AK,Bering Land Bridge National Preserve,National Preserve,2642,738432,2.45
2006,IM,TX,Big Bend National Park,National Park,298717,23359580,2.59
2007,IM,TX,Big Bend National Park,National Park,364856,23831983,2.8
2008,IM,TX,Big Bend National Park,National Park,362512,24309039,3.27
2009,IM,TX,Big Bend National Park,National Park,363905,24801761,2.35
2010,IM,TX,Big Bend National Park,National Park,372330,25245717,2.79
2011,IM,TX,Big Bend National Park,National Park,361862,25657477,3.53
2012,IM,TX,Big Bend National Park,National Park,292055,26094422,3.64
2013,IM,TX,Big Bend National Park,National Park,316953,26505637,3.53
2014,IM,TX,Big Bend National Park,National Park,314102,26956958,3.37
2015,IM,TX,Big Bend National Park,National Park,381747,27469114,2.45
2006,SE,FL,Big Cypress National Preserve,National Preserve,825857,18166990,2.59
2007,SE,FL,Big Cypress National Preserve,National Preserve,822864,18367842,2.8
2008,SE,FL,Big Cypress National Preserve,National Preserve,813790,18527305,3.27
2009,SE,FL,Big Cypress National Preserve,National Preserve,812207,18652644,2.35
2010,SE,FL,Big Cypress National Preserve,National Preserve,665523,18852220,2.79
2011,SE,FL,Big Cypress National Preserve,National Preserve,941393,19107900,3.53
2012,SE,FL,Big Cypress National Preserve,National Preserve,882570,19355257,3.64
2013,SE,FL,Big Cypress National Preserve,National Preserve,1007788,19600311,3.53
2014,SE,FL,Big Cypress National Preserve,National Preserve,1192856,19893297,3.37
2015,SE,FL,Big Cypress National Preserve,National Preserve,1112290,20271272,2.45
2006,PW,MT,Big Hole National Battlefield,National Battlefield,55049,952692,2.59
2007,PW,MT,Big Hole National Battlefield,National Battlefield,55415,964706,2.8
2008,PW,MT,Big Hole National Battlefield,National Battlefield,54818,976415,3.27
2009,PW,MT,Big Hole National Battlefield,National Battlefield,49822,983982,2.35
2010,PW,MT,Big Hole National Battlefield,National Battlefield,44771,990575,2.79
2011,PW,MT,Big Hole National Battlefield,National Battlefield,36290,997661,3.53
2012,PW,MT,Big Hole National Battlefield,National Battlefield,35207,1005163,3.64
2013,PW,MT,Big Hole National Battlefield,National Battlefield,38092,1014864,3.53
2014,PW,MT,Big Hole National Battlefield,National Battlefield,36987,1023579,3.37
2015,PW,MT,Big Hole National Battlefield,National Battlefield,39549,1032949,2.45
2006,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,622807,6088766,2.59
2007,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,626751,6175727,2.8
2008,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,675928,6247411,3.27
2009,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,686747,6306019,2.35
2010,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,656374,6356628,2.79
2011,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,606579,6398389,3.53
2012,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,600161,6455177,3.64
2013,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,565063,6497269,3.53
2014,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,599906,6549352,3.37
2015,SE,TN,Big South Fork National River and Recreation Area,National River and Recreation Area,643135,6600299,2.45
2006,IM,TX,Big Thicket National Preserve,National Preserve,91126,23359580,2.59
2007,IM,TX,Big Thicket National Preserve,National Preserve,95285,23831983,2.8
2008,IM,TX,Big Thicket National Preserve,National Preserve,93634,24309039,3.27
2009,IM,TX,Big Thicket National Preserve,National Preserve,100509,24801761,2.35
2010,IM,TX,Big Thicket National Preserve,National Preserve,140489,25245717,2.79
2011,IM,TX,Big Thicket National Preserve,National Preserve,137722,25657477,3.53
2012,IM,TX,Big Thicket National Preserve,National Preserve,135262,26094422,3.64
2013,IM,TX,Big Thicket National Preserve,National Preserve,120108,26505637,3.53
2014,IM,TX,Big Thicket National Preserve,National Preserve,109956,26956958,3.37
2015,IM,TX,Big Thicket National Preserve,National Preserve,125832,27469114,2.45
2006,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,177414,522667,2.59
2007,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,213063,534876,2.8
2008,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,178533,546043,3.27
2009,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,205293,559851,2.35
2010,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,258637,564358,2.79
2011,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,201010,567631,3.53
2012,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,245831,576893,3.64
2013,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,241527,583223,3.53
2014,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,224083,584153,3.37
2015,IM,WY,Bighorn Canyon National Recreation Area,National Recreation Area,245173,586107,2.45
2006,SE,FL,Biscayne National Park,National Park,608836,18166990,2.59
2007,SE,FL,Biscayne National Park,National Park,517442,18367842,2.8
2008,SE,FL,Biscayne National Park,National Park,686062,18527305,3.27
2009,SE,FL,Biscayne National Park,National Park,437745,18652644,2.35
2010,SE,FL,Biscayne National Park,National Park,467612,18852220,2.79
2011,SE,FL,Biscayne National Park,National Park,476077,19107900,3.53
2012,SE,FL,Biscayne National Park,National Park,495613,19355257,3.64
2013,SE,FL,Biscayne National Park,National Park,486848,19600311,3.53
2014,SE,FL,Biscayne National Park,National Park,525745,19893297,3.37
2015,SE,FL,Biscayne National Park,National Park,508164,20271272,2.45
2006,IM,CO,Black Canyon of the Gunnison National Park,National Park,160450,4720423,2.59
2007,IM,CO,Black Canyon of the Gunnison National Park,National Park,219576,4803868,2.8
2008,IM,CO,Black Canyon of the Gunnison National Park,National Park,160185,4889730,3.27
2009,IM,CO,Black Canyon of the Gunnison National Park,National Park,171451,4972195,2.35
2010,IM,CO,Black Canyon of the Gunnison National Park,National Park,176344,5048575,2.79
2011,IM,CO,Black Canyon of the Gunnison National Park,National Park,168336,5119661,3.53
2012,IM,CO,Black Canyon of the Gunnison National Park,National Park,192570,5191709,3.64
2013,IM,CO,Black Canyon of the Gunnison National Park,National Park,175852,5272086,3.53
2014,IM,CO,Black Canyon of the Gunnison National Park,National Park,183045,5355866,3.37
2015,IM,CO,Black Canyon of the Gunnison National Park,National Park,209166,5456574,2.45
2006,NT,NC,Blue Ridge Parkway,Parkway,18953478,8917270,2.59
2007,NT,NC,Blue Ridge Parkway,Parkway,17352286,9118037,2.8
2008,NT,NC,Blue Ridge Parkway,Parkway,16309307,9309449,3.27
2009,NT,NC,Blue Ridge Parkway,Parkway,15936316,9449566,2.35
2010,NT,NC,Blue Ridge Parkway,Parkway,14517118,9559488,2.79
2011,NT,NC,Blue Ridge Parkway,Parkway,15382447,9651502,3.53
2012,NT,NC,Blue Ridge Parkway,Parkway,15205059,9748181,3.64
2013,NT,NC,Blue Ridge Parkway,Parkway,12877368,9848917,3.53
2014,NT,NC,Blue Ridge Parkway,Parkway,13941749,9943964,3.37
2015,NT,NC,Blue Ridge Parkway,Parkway,15054603,10042802,2.45
2006,NE,WV,Bluestone National Scenic River,National Scenic River,46093,1827912,2.59
2007,NE,WV,Bluestone National Scenic River,National Scenic River,48061,1834052,2.8
2008,NE,WV,Bluestone National Scenic River,National Scenic River,46942,1840310,3.27
2009,NE,WV,Bluestone National Scenic River,National Scenic River,45904,1847775,2.35
2010,NE,WV,Bluestone National Scenic River,National Scenic River,37790,1854176,2.79
2011,NE,WV,Bluestone National Scenic River,National Scenic River,41670,1854982,3.53
2012,NE,WV,Bluestone National Scenic River,National Scenic River,36842,1856313,3.64
2013,NE,WV,Bluestone National Scenic River,National Scenic River,36266,1853595,3.53
2014,NE,WV,Bluestone National Scenic River,National Scenic River,38450,1850326,3.37
2015,NE,WV,Bluestone National Scenic River,National Scenic River,36733,1844128,2.45
2006,NE,VA,Booker T. Washington National Monument,National Monument,18339,7673725,2.59
2007,NE,VA,Booker T. Washington National Monument,National Monument,19410,7751000,2.8
2008,NE,VA,Booker T. Washington National Monument,National Monument,19990,7833496,3.27
2009,NE,VA,Booker T. Washington National Monument,National Monument,21216,7925937,2.35
2010,NE,VA,Booker T. Washington National Monument,National Monument,21665,8025376,2.79
2011,NE,VA,Booker T. Washington National Monument,National Monument,24030,8110188,3.53
2012,NE,VA,Booker T. Washington National Monument,National Monument,24361,8193422,3.64
2013,NE,VA,Booker T. Washington National Monument,National Monument,22103,8270345,3.53
2014,NE,VA,Booker T. Washington National Monument,National Monument,26127,8326289,3.37
2015,NE,VA,Booker T. Washington National Monument,National Monument,27205,8382993,2.45
2006,NE,MA,Boston African American National Historic Site,National Historic Site,255060,6410084,2.59
2007,NE,MA,Boston African American National Historic Site,National Historic Site,265459,6431559,2.8
2008,NE,MA,Boston African American National Historic Site,National Historic Site,280279,6468967,3.27
2009,NE,MA,Boston African American National Historic Site,National Historic Site,298519,6517613,2.35
2010,NE,MA,Boston African American National Historic Site,National Historic Site,333463,6564073,2.79
2011,NE,MA,Boston African American National Historic Site,National Historic Site,379906,6612270,3.53
2012,NE,MA,Boston African American National Historic Site,National Historic Site,404248,6655829,3.64
2013,NE,MA,Boston African American National Historic Site,National Historic Site,386084,6708874,3.53
2014,NE,MA,Boston African American National Historic Site,National Historic Site,408641,6745408,3.37
2015,NE,MA,Boston African American National Historic Site,National Historic Site,412377,6794422,2.45
2006,NE,MA,Boston National Historical Park,National Historical Park,1944386,6410084,2.59
